"","ID","Role"
"611",611,"student"
"612",612,"student"
"613",613,"teacher"
"614",614,"student"
"615",615,"teacher"
"616",616,"student"
"617",617,"student"
"618",618,"student"
"619",619,"student"
"620",620,"teacher"
"621",621,"student"
"622",622,"staff"
"623",623,"teacher"
"624",624,"teacher"
"625",625,"student"
"626",626,"student"
"627",627,"student"
"628",628,"staff"
"629",629,"student"
"630",630,"student"
"631",631,"student"
"632",632,"student"
"633",633,"student"
"634",634,"student"
"635",635,"teacher"
"636",636,"teacher"
"637",637,"student"
"638",638,"student"
"639",639,"student"
"640",640,"teacher"
"641",641,"student"
"642",642,"student"
"643",643,"staff"
"644",644,"student"
"645",645,"student"
"646",646,"student"
"647",647,"student"
"648",648,"student"
"649",649,"teacher"
"650",650,"student"
"651",651,"student"
"652",652,"student"
"653",653,"student"
"654",654,"student"
"655",655,"student"
"656",656,"teacher"
"657",657,"student"
"658",658,"student"
"659",659,"student"
"660",660,"student"
"661",661,"student"
"662",662,"student"
"663",663,"student"
"664",664,"teacher"
"665",665,"student"
"666",666,"student"
"667",667,"student"
"668",668,"student"
"669",669,"student"
"670",670,"student"
"671",671,"student"
"672",672,"student"
"673",673,"staff"
"674",674,"staff"
"675",675,"student"
"676",676,"student"
"677",677,"student"
"678",678,"student"
"679",679,"student"
"680",680,"teacher"
"681",681,"staff"
"682",682,"student"
"683",683,"student"
"684",684,"student"
"685",685,"student"
"686",686,"student"
"687",687,"student"
"688",688,"student"
"689",689,"student"
"690",690,"student"
"691",691,"student"
"692",692,"student"
"693",693,"staff"
"694",694,"student"
"695",695,"student"
"696",696,"student"
"697",697,"teacher"
"698",698,"teacher"
"699",699,"student"
"700",700,"student"
"701",701,"student"
"702",702,"student"
"703",703,"student"
"704",704,"student"
"705",705,"staff"
"706",706,"staff"
"707",707,"student"
"708",708,"student"
"709",709,"student"
"710",710,"student"
"711",711,"teacher"
"712",712,"student"
"713",713,"student"
"714",714,"staff"
"715",715,"student"
"716",716,"student"
"717",717,"student"
"718",718,"student"
"719",719,"student"
"720",720,"student"
"721",721,"teacher"
"722",722,"student"
"723",723,"teacher"
"724",724,"student"
"725",725,"student"
"726",726,"student"
"727",727,"staff"
"728",728,"student"
"729",729,"student"
"730",730,"student"
"731",731,"teacher"
"732",732,"student"
"733",733,"student"
"734",734,"student"
"735",735,"student"
"736",736,"student"
"737",737,"student"
"738",738,"teacher"
"739",739,"staff"
"740",740,"student"
"741",741,"teacher"
"742",742,"teacher"
"743",743,"student"
"744",744,"staff"
"745",745,"student"
"746",746,"student"
"747",747,"student"
"748",748,"student"
"749",749,"student"
"750",750,"student"
"751",751,"student"
"752",752,"staff"
"753",753,"teacher"
"754",754,"student"
"755",755,"teacher"
"756",756,"student"
"757",757,"student"
"758",758,"student"
"759",759,"student"
"760",760,"student"
"761",761,"student"
"762",762,"student"
"763",763,"student"
"764",764,"student"
"765",765,"student"
"766",766,"teacher"
"767",767,"student"
"768",768,"staff"
"769",769,"student"
"770",770,"student"
"771",771,"student"
"772",772,"student"
"773",773,"student"
"774",774,"student"
"775",775,"student"
"776",776,"student"
"777",777,"student"
"778",778,"student"
"779",779,"student"
"780",780,"student"
"781",781,"student"
"782",782,"student"
"783",783,"student"
"784",784,"teacher"
"785",785,"student"
"786",786,"teacher"
"787",787,"other"
"788",788,"student"
"789",789,"student"
